,Name,side 1,side 2,side 3,side 4,side 5 ,side 6,MU wins,MU draws,MU losses,MU win %,MU draw %,MU loss %,total win %,total draws %,total loss %
247,11/10/0/0/0/0,11,10,0,0,0,0,1,17,313,0.003,0.0514,0.9456,0.3112,0.1403,0.5485
248,12/2/2/2/2/1,12,2,2,2,2,1,158,14,159,0.4773,0.0423,0.4804,0.4397,0.1208,0.4394
249,12/3/2/2/1/1,12,3,2,2,1,1,150,23,158,0.4532,0.0695,0.4773,0.4345,0.1218,0.4437
250,12/3/2/2/2/0,12,3,2,2,2,0,154,17,160,0.4653,0.0514,0.4834,0.4288,0.1223,0.4489
251,12/3/3/1/1/1,12,3,3,1,1,1,137,26,168,0.4139,0.0785,0.5076,0.4293,0.1227,0.44799999999999995
252,12/3/3/2/1/0,12,3,3,2,1,0,141,14,176,0.426,0.0423,0.5317,0.4236,0.1232,0.4532
253,12/3/3/3/0/0,12,3,3,3,0,0,108,38,185,0.3263,0.1148,0.5589,0.4127,0.1246,0.4627
254,12/4/2/1/1/1,12,4,2,1,1,1,132,20,179,0.3988,0.0604,0.5408,0.4251,0.1231,0.4518
255,12/4/2/2/1/0,12,4,2,2,1,0,127,19,185,0.3837,0.0574,0.5589,0.4194,0.1236,0.457
256,12/4/3/1/1/0,12,4,3,1,1,0,110,23,198,0.3323,0.0695,0.5982,0.4141,0.1245,0.4613
257,12/4/3/2/0/0,12,4,3,2,0,0,92,35,204,0.2779,0.1057,0.6163,0.4084,0.125,0.4665
258,12/4/4/1/0/0,12,4,4,1,0,0,69,32,230,0.2085,0.0967,0.6949,0.39899999999999997,0.1264,0.4747
259,12/5/1/1/1/1,12,5,1,1,1,1,106,42,183,0.3202,0.1269,0.5529,0.4117,0.1251,0.4632
260,12/5/2/1/1/0,12,5,2,1,1,0,94,29,208,0.284,0.0876,0.6284,0.406,0.1256,0.4684
261,12/5/2/2/0/0,12,5,2,2,0,0,77,35,219,0.2326,0.1057,0.6616,0.4003,0.1261,0.4736
262,12/5/3/1/0/0,12,5,3,1,0,0,64,26,241,0.1934,0.0785,0.7281,0.3951,0.1271,0.4778
263,12/5/4/0/0/0,12,5,4,0,0,0,30,22,279,0.0906,0.0665,0.8429,0.3799,0.1289,0.4912
264,12/6/1/1/1/0,12,6,1,1,1,0,82,22,227,0.2477,0.0665,0.6858,0.3895,0.1282,0.4823
265,12/6/2/1/0/0,12,6,2,1,0,0,60,14,257,0.1813,0.0423,0.7764,0.3838,0.1287,0.4875
266,12/6/3/0/0/0,12,6,3,0,0,0,26,17,288,0.0785,0.0514,0.8701,0.3729,0.1302,0.49700000000000005
267,12/7/1/1/0/0,12,7,1,1,0,0,49,18,264,0.14800000000000002,0.0544,0.7976,0.3646,0.132,0.5034
268,12/7/2/0/0/0,12,7,2,0,0,0,24,17,290,0.0725,0.0514,0.8761,0.3589,0.1325,0.5086
269,12/8/1/0/0/0,12,8,1,0,0,0,22,15,294,0.0665,0.0453,0.8882,0.3379,0.1361,0.526
270,12/9/0/0/0/0,12,9,0,0,0,0,1,13,317,0.003,0.0393,0.9577,0.3095,0.1407,0.5498
271,13/2/2/2/1/1,13,2,2,2,1,1,133,19,179,0.4018,0.0574,0.5408,0.4137,0.1256,0.4606
272,13/2/2/2/2/0,13,2,2,2,2,0,137,23,171,0.4139,0.0695,0.5166,0.408,0.1261,0.4658
273,13/3/2/1/1/1,13,3,2,1,1,1,119,21,191,0.3595,0.0634,0.5770000000000001,0.4085,0.1266,0.4649
274,13/3/2/2/1/0,13,3,2,2,1,0,121,13,197,0.3656,0.0393,0.5952,0.4028,0.1271,0.4701
275,13/3/3/1/1/0,13,3,3,1,1,0,97,26,208,0.2931,0.0785,0.6284,0.3976,0.128,0.4744
276,13/3/3/2/0/0,13,3,3,2,0,0,83,32,216,0.2508,0.0967,0.6526,0.3919,0.1285,0.4796
277,13/4/1/1/1/1,13,4,1,1,1,1,97,35,199,0.2931,0.1057,0.6012,0.39899999999999997,0.1279,0.4731
278,13/4/2/1/1/0,13,4,2,1,1,0,89,28,214,0.2689,0.0846,0.6465,0.3933,0.1284,0.4783
279,13/4/2/2/0/0,13,4,2,2,0,0,71,34,226,0.2145,0.1027,0.6828,0.3876,0.1289,0.4835
280,13/4/3/1/0/0,13,4,3,1,0,0,62,23,246,0.1873,0.0695,0.7432,0.3824,0.1298,0.4877
281,13/4/4/0/0/0,13,4,4,0,0,0,32,14,285,0.0967,0.0423,0.861,0.3672,0.1317,0.5011
282,13/5/1/1/1/0,13,5,1,1,1,0,78,16,237,0.2356,0.0483,0.716,0.38,0.1304,0.4896
283,13/5/2/1/0/0,13,5,2,1,0,0,57,14,260,0.1722,0.0423,0.7855,0.3743,0.1309,0.4948
284,13/5/3/0/0/0,13,5,3,0,0,0,25,16,290,0.0755,0.0483,0.8761,0.3634,0.1323,0.5043
285,13/6/1/1/0/0,13,6,1,1,0,0,48,13,270,0.145,0.0393,0.8157,0.3578,0.1335,0.5087
286,13/6/2/0/0/0,13,6,2,0,0,0,22,15,294,0.0665,0.0453,0.8882,0.35200000000000004,0.134,0.5139
287,13/7/1/0/0/0,13,7,1,0,0,0,18,18,295,0.0544,0.0544,0.8912,0.3329,0.1373,0.5298
