sides	MU wins	MU draws	MU losses	MU win %	MU draw %	MU loss %	total wins	total draw	total losses	total win %	total draws %	total loss %
[8, 6, 2, 2, 2, 1]	202.0	24.0	91.0	63.722%	7.5709%	28.706%	5497.0	1301.0	4614.0	48.168%	11.400%	40.431%	
[8, 6, 3, 2, 1, 1]	200.0	23.0	94.0	63.091%	7.2555%	29.652%	5438.0	1309.0	4665.0	47.651%	11.470%	40.878%	
[8, 6, 3, 2, 2, 0]	202.0	27.0	88.0	63.722%	8.5173%	27.760%	5419.0	1269.0	4724.0	47.485%	11.119%	41.395%	
[8, 6, 3, 3, 1, 0]	191.0	44.0	82.0	60.252%	13.880%	25.867%	5360.0	1277.0	4775.0	46.968%	11.189%	41.841%	
[8, 6, 4, 1, 1, 1]	175.0	36.0	106.0	55.205%	11.356%	33.438%	5328.0	1323.0	4761.0	46.687%	11.593%	41.719%	
[8, 6, 4, 2, 1, 0]	173.0	40.0	104.0	54.574%	12.618%	32.807%	5309.0	1283.0	4820.0	46.521%	11.242%	42.236%	
[8, 6, 4, 3, 0, 0]	150.0	70.0	97.0	47.318%	22.082%	30.599%	5231.0	1251.0	4930.0	45.837%	10.962%	43.200%	
[8, 6, 5, 1, 1, 0]	150.0	36.0	131.0	47.318%	11.356%	41.324%	5154.0	1304.0	4954.0	45.162%	11.426%	43.410%	
[8, 6, 5, 2, 0, 0]	126.0	59.0	132.0	39.747%	18.611%	41.640%	5135.0	1264.0	5013.0	44.996%	11.076%	43.927%	
[8, 6, 6, 1, 0, 0]	102.0	44.0	171.0	32.176%	13.880%	53.943%	4942.0	1292.0	5178.0	43.305%	11.321%	45.373%	
[8, 7, 2, 2, 1, 1]	176.0	30.0	111.0	55.520%	9.4637%	35.015%	5273.0	1337.0	4802.0	46.205%	11.715%	42.078%	
[8, 7, 2, 2, 2, 0]	179.0	28.0	110.0	56.466%	8.8328%	34.700%	5254.0	1297.0	4861.0	46.039%	11.365%	42.595%	
[8, 7, 3, 1, 1, 1]	168.0	22.0	127.0	52.996%	6.9400%	40.063%	5214.0	1345.0	4853.0	45.688%	11.785%	42.525%	
[8, 7, 3, 2, 1, 0]	160.0	43.0	114.0	50.473%	13.564%	35.962%	5195.0	1305.0	4912.0	45.522%	11.435%	43.042%	
[8, 7, 3, 3, 0, 0]	126.0	68.0	123.0	39.747%	21.451%	38.801%	5117.0	1273.0	5022.0	44.838%	11.154%	44.006%	
[8, 7, 4, 1, 1, 0]	135.0	31.0	151.0	42.586%	9.7791%	47.634%	5085.0	1319.0	5008.0	44.558%	11.558%	43.883%	
[8, 7, 4, 2, 0, 0]	104.0	51.0	162.0	32.807%	16.088%	51.104%	5066.0	1279.0	5067.0	44.391%	11.207%	44.400%	
[8, 7, 5, 1, 0, 0]	98.0	35.0	184.0	30.914%	11.041%	58.044%	4911.0	1300.0	5201.0	43.033%	11.391%	45.574%	
[8, 7, 6, 0, 0, 0]	42.0	64.0	211.0	13.249%	20.189%	66.561%	4699.0	1288.0	5425.0	41.175%	11.286%	47.537%	
[8, 8, 2, 1, 1, 1]	154.0	18.0	145.0	48.580%	5.6782%	45.741%	5026.0	1377.0	5009.0	44.041%	12.066%	43.892%	
[8, 8, 2, 2, 1, 0]	139.0	38.0	140.0	43.848%	11.987%	44.164%	5007.0	1337.0	5068.0	43.874%	11.715%	44.409%	
[8, 8, 3, 1, 1, 0]	120.0	29.0	168.0	37.854%	9.1482%	52.996%	4948.0	1345.0	5119.0	43.357%	11.785%	44.856%	
[8, 8, 3, 2, 0, 0]	98.0	47.0	172.0	30.914%	14.826%	54.258%	4929.0	1305.0	5178.0	43.191%	11.435%	45.373%	
[8, 8, 4, 1, 0, 0]	76.0	35.0	206.0	23.974%	11.041%	64.984%	4819.0	1319.0	5274.0	42.227%	11.558%	46.214%	
[8, 8, 5, 0, 0, 0]	35.0	40.0	242.0	11.041%	12.618%	76.340%	4645.0	1300.0	5467.0	40.702%	11.391%	47.905%	
[9, 3, 3, 2, 2, 2]	205.0	18.0	94.0	64.668%	5.6782%	29.652%	5630.0	1292.0	4490.0	49.334%	11.321%	39.344%	
[9, 3, 3, 3, 2, 1]	212.0	16.0	89.0	66.876%	5.0473%	28.075%	5571.0	1300.0	4541.0	48.817%	11.391%	39.791%	
[9, 3, 3, 3, 3, 0]	202.0	40.0	75.0	63.722%	12.618%	23.659%	5493.0	1268.0	4651.0	48.133%	11.111%	40.755%	
[9, 4, 2, 2, 2, 2]	193.0	22.0	102.0	60.883%	6.9400%	32.176%	5579.0	1298.0	4535.0	48.887%	11.373%	39.738%	
[9, 4, 3, 2, 2, 1]	204.0	18.0	95.0	64.353%	5.6782%	29.968%	5520.0	1306.0	4586.0	48.370%	11.444%	40.185%	
[9, 4, 3, 3, 1, 1]	202.0	29.0	86.0	63.722%	9.1482%	27.129%	5461.0	1314.0	4637.0	47.853%	11.514%	40.632%	
[9, 4, 3, 3, 2, 0]	201.0	34.0	82.0	63.406%	10.725%	25.867%	5442.0	1274.0	4696.0	47.686%	11.163%	41.149%	
[9, 4, 4, 2, 1, 1]	192.0	28.0	97.0	60.567%	8.8328%	30.599%	5410.0	1320.0	4682.0	47.406%	11.566%	41.026%	
[9, 4, 4, 2, 2, 0]	196.0	34.0	87.0	61.829%	10.725%	27.444%	5391.0	1280.0	4741.0	47.239%	11.216%	41.543%	
[9, 4, 4, 3, 1, 0]	195.0	27.0	95.0	61.514%	8.5173%	29.968%	5332.0	1288.0	4792.0	46.722%	11.286%	41.990%	
[9, 4, 4, 4, 0, 0]	160.0	51.0	106.0	50.473%	16.088%	33.438%	5203.0	1262.0	4947.0	45.592%	11.058%	43.349%	
[9, 5, 2, 2, 2, 1]	186.0	24.0	107.0	58.675%	7.5709%	33.753%	5424.0	1319.0	4669.0	47.528%	11.558%	40.913%	
[9, 5, 3, 2, 1, 1]	186.0	22.0	109.0	58.675%	6.9400%	34.384%	5365.0	1327.0	4720.0	47.011%	11.628%	41.359%	
[9, 5, 3, 2, 2, 0]	191.0	19.0	107.0	60.252%	5.9936%	33.753%	5346.0	1287.0	4779.0	46.845%	11.277%	41.876%	
[9, 5, 3, 3, 1, 0]	178.0	38.0	101.0	56.151%	11.987%	31.861%	5287.0	1295.0	4830.0	46.328%	11.347%	42.323%	
[9, 5, 4, 1, 1, 1]	165.0	33.0	119.0	52.050%	10.410%	37.539%	5255.0	1341.0	4816.0	46.048%	11.750%	42.201%	
[9, 5, 4, 2, 1, 0]	162.0	39.0	116.0	51.104%	12.302%	36.593%	5236.0	1301.0	4875.0	45.881%	11.400%	42.718%	
[9, 5, 4, 3, 0, 0]	147.0	50.0	120.0	46.372%	15.772%	37.854%	5158.0	1269.0	4985.0	45.198%	11.119%	43.682%	
[9, 5, 5, 1, 1, 0]	138.0	31.0	148.0	43.533%	9.7791%	46.687%	5081.0	1322.0	5009.0	44.523%	11.584%	43.892%	
[9, 5, 5, 2, 0, 0]	110.0	58.0	149.0	34.700%	18.296%	47.003%	5062.0	1282.0	5068.0	44.356%	11.233%	44.409%	
[9, 6, 2, 2, 1, 1]	171.0	30.0	116.0	53.943%	9.4637%	36.593%	5231.0	1347.0	4834.0	45.837%	11.803%	42.358%	
[9, 6, 2, 2, 2, 0]	168.0	26.0	123.0	52.996%	8.2018%	38.801%	5212.0	1307.0	4893.0	45.671%	11.452%	42.875%	
[9, 6, 3, 1, 1, 1]	159.0	29.0	129.0	50.157%	9.1482%	40.694%	5172.0	1355.0	4885.0	45.320%	11.873%	42.805%	
[9, 6, 3, 2, 1, 0]	152.0	36.0	129.0	47.949%	11.356%	40.694%	5153.0	1315.0	4944.0	45.154%	11.522%	43.322%	
[9, 6, 3, 3, 0, 0]	117.0	61.0	139.0	36.908%	19.242%	43.848%	5075.0	1283.0	5054.0	44.470%	11.242%	44.286%	
